area,count_births,count_deaths,count_pop,count_breastf,count_job_seekers,ratio_low_birthweight,ratio_hosp__acc_adm,ratio_hosp_planned_adm,ratio_fires,ratio_dis_allow,count_house_sales,house_sales_prices_mean
Murdostoun,210,185,20106,56,745,2.13E0,950,14300,6.06E1,8.8898E3,217,117168
Musselburgh East and Carberry,177,151,13390,67,410,1.85E0,1585,12023,8.45E1,6.5658E3,101,157842
Musselburgh West,105,87,11858,74,245,2.19E0,1185,9993,1.263E2,5.3923E3,121,161627
Na Hearadh agus Ceann a Deas nan Loch,18,45,1894,6,65,0,1872,13352,1.413E2,4.9288E3,29,103000
Nairn,113,158,12279,54,180,1.43E0,1189,9831,8.15E1,5.6931E3,168,175123
"Neilston, Uplawmoor and Newton Mearns North",203,190,19398,114,285,2.36E0,1209,13984,5.83E1,4.9208E3,250,234483
"Netherlee, Stamperland and Williamwood",150,102,13114,93,100,6.1E-1,992,14147,2.84E1,2.8313E3,202,242239
Newlands / Auldburn,289,265,23146,148,930,4.15E0,1440,14257,1.596E2,7.4518E3,224,148845
Newton Mearns South,78,96,12101,64,100,1.42E0,919,15465,54,2.6074E3,196,275475
Nith,117,151,12513,50,315,3.13E0,1411,12461,8.87E1,6.8431E3,153,115864
North Berwick Coastal,95,187,12574,60,130,5.0E-1,1214,10468,8.73E1,3.2082E3,219,321233
North Coast and Cumbraes,106,237,16432,56,300,7.6E-1,1659,16562,8.05E1,5.1357E3,347,122705
North East,178,133,15858,55,705,3.53E0,1032,8566,2.001E2,9.2468E3,129,106587
North East,446,343,33029,133,1650,2.55E0,1624,15486,1.075E2,1.14387E4,255,111209
North Isles,30,31,2831,28,15,0,1061,14321,3.54E1,4.2882E3,32,72693
North Isles,14,25,2328,14,30,0,1419,13763,0,5.5986E3,27,122912
North Kincardine,180,75,14228,96,90,2.23E0,912,9348,2.81E1,2.9823E3,310,228527
North West Dumfries,183,188,15160,59,610,2.33E0,1413,11576,1.044E2,8095,108,123367
"North, West and Central Sutherland",37,56,5905,16,130,1.03E0,1372,12024,8.47E1,5.5675E3,60,111471
Northfield / Mastrick North,230,132,17468,99,485,2.7E0,1595,12747,1.192E2,9.0748E3,133,116516
Oban North and Lorn,88,100,10360,49,145,9.2E-1,1306,14286,6.17E1,4.1392E3,116,186227
Oban South and the Isles,89,99,9745,36,205,4.3E-1,1302,13761,1.929E2,4.9962E3,114,156094
Paisley East & Ralston,185,212,16748,71,545,2.28E0,1453,15719,1.601E2,7.4121E3,244,116016
Paisley North West,283,206,20095,99,1230,3.53E0,1782,14115,2.366E2,9.2426E3,180,78399
Paisley South,205,211,18416,71,655,2.29E0,1452,15636,7.95E1,7.2776E3,213,105450
Paisley South West,174,232,16503,65,665,2.16E0,1499,15018,1.102E2,7.0703E3,149,106385
Partick West,324,269,33571,241,865,1.59E0,1204,11945,1.201E2,6.8515E3,565,186328
Penicuik,138,120,13899,61,370,1.43E0,1498,11476,1.505E2,5.2053E3,97,144570
Pentland Hills,218,160,23891,147,400,1.24E0,1149,9650,5.12E1,3.7677E3,219,241900
Perth City Centre,155,202,16072,79,455,1.69E0,1635,7088,195,7.4278E3,153,127200
Perth City North,231,148,16812,96,560,1.74E0,1394,7500,9.18E1,6.7776E3,142,120758
Perth City South,115,167,14170,72,140,1.52E0,1084,7233,8.73E1,3.8478E3,170,170149
Peterhead North and Rattray,203,188,14797,72,305,1.72E0,1349,10757,1.102E2,7.1143E3,202,137337
Peterhead South and Cruden,134,118,12316,58,170,2.07E0,1155,11141,9.41E1,6.3163E3,126,135187
Pollokshields,381,177,23139,272,565,2.71E0,1006,12122,1.152E2,5.2364E3,299,181855
Portobello / Craigmillar,362,328,25543,182,885,2.94E0,1501,11116,1.408E2,8.5222E3,275,184810
Preston / Seton / Gosford,199,154,17704,72,450,1.53E0,1539,11137,1.026E2,7404,128,172990
Prestwick,110,207,14619,61,285,1.6E0,1589,14771,46,5.5006E3,242,136728
Renfrew North,151,105,13212,63,365,2.31E0,1240,15729,1.059E2,7.1625E3,192,114053
Renfrew South & Gallowhill,192,194,14320,55,545,3.71E0,1487,16998,1.396E2,9.7752E3,136,83285
Rosyth,187,117,14788,90,455,2.87E0,1086,12948,6.74E1,6.5004E3,136,101300
Rutherglen Central and North,134,140,12382,51,560,3.6E0,1587,16792,1.024E2,1.06081E4,115,77433
Rutherglen South,146,247,14899,69,490,2.95E0,1536,16363,1.161E2,8.9779E3,162,121372
Saltcoats and Stevenston,235,275,20568,51,1325,2.5E0,1968,12673,1.366E2,1.08001E4,192,82733
Selkirkshire,86,136,9824,53,205,2.15E0,1402,11328,29,4.5907E3,85,142209
Sgir'Uige agus Ceann a Tuath nan Loch,22,29,3643,9,55,0,1960,13491,0,5.5771E3,12,89929
Sgire an Rubha,21,28,2252,11,30,4.44E0,1549,12395,4.43E1,5.7072E3,14,121527
Shetland Central,42,26,2412,26,25,0,1190,15656,1.535E2,4.0225E3,22,132857
Shetland North,37,20,3279,25,30,1.82E0,1648,14713,0,4.5597E3,25,110198
Shetland South,31,27,3320,21,25,2.35E0,1147,13281,1.811E2,3.7163E3,42,116535
Shetland West,37,22,2942,25,15,1.11E0,915,13991,3.39E1,3.0992E3,37,129083
Shettleston,298,350,26539,74,1090,3.03E0,1813,16572,1.559E2,1.24258E4,183,93353
Sighthill / Gorgie,532,329,38530,288,1515,2.61E0,1458,8552,1.802E2,6.9698E3,345,109129
South Kintyre,64,127,6305,24,245,0,1460,13405,4.25E1,6.8266E3,80,115875
Southside / Newington,247,290,34270,217,555,1.49E0,1270,6803,1.369E2,3.3889E3,513,273135
Southside Central,458,295,28681,300,1600,4.03E0,1449,13987,1.529E2,9.7968E3,314,95554
Speyside Glenlivet,65,100,9337,44,120,1.17E0,1152,11464,2.13E1,4.0042E3,92,150809
Springburn,377,249,21371,165,1315,2.78E0,1934,14486,2.009E2,9.3836E3,126,72755
St Andrews,80,145,18519,51,150,1.94E0,889,5677,2.73E1,2.3671E3,201,269453
Steòrnabhagh a Deas,36,98,3246,18,105,2.97E0,1954,14408,2.44E1,5.2146E3,38,128620
Steòrnabhagh a Tuath,45,43,4835,17,85,1.32E0,2049,14871,2.53E1,5.7174E3,24,123089
Stirling East,160,122,13705,74,360,2.35E0,973,7560,8.77E1,7.7079E3,141,124241
Stirling West,105,130,11852,55,290,1.72E0,995,7030,7.34E1,5298,152,187977
Stonehaven and Lower Deeside,147,149,14810,101,105,2.17E0,1165,9399,5.48E1,3.2539E3,203,236447
Stranraer and North Rhins,122,126,9582,35,285,1.43E0,1116,13693,5.26E1,9.1489E3,70,128517
Strathallan  ,76,117,10333,47,120,1.37E0,1218,7779,7.73E1,3.8818E3,124,203406
Strathearn,80,147,11138,41,150,9.5E-1,1355,8732,5.38E1,4.4872E3,147,195513
Strathkelvin,260,138,20696,89,455,2.44E0,1062,15131,3.49E1,7.2238E3,253,158354
Strathmartine,254,203,19539,66,705,1.82E0,1094,9518,1.115E2,9.1751E3,153,108291
Strathmore,121,190,15160,74,195,8.5E-1,1292,8301,4.62E1,5.0683E3,154,190730
Strathtay,66,84,8156,43,120,3.31E0,1299,7645,2.97E1,3.8837E3,93,214672
Stromness and South Isles,27,40,2586,12,45,1.59E0,1502,17956,9.79E1,5.1282E3,24,111906
Tain and Easter Ross,115,79,9306,42,210,1.49E0,1208,10653,4.31E1,7.3363E3,89,135456
Tay Bridgehead,159,122,14132,90,220,1.17E0,1030,7241,4.94E1,4.0511E3,142,185762
The Ferry,157,277,19679,99,180,2.4E0,1223,7711,8.63E1,4.3739E3,295,184408
The Lochs,175,163,12910,53,610,2.46E0,1416,12681,1.355E2,9.1019E3,144,102274
Thorniewood,137,191,15471,29,490,2.51E0,1184,14330,5.95E1,8.3942E3,102,114933
Thurso,92,97,7604,31,200,4.7E-1,1391,12992,2.62E1,6.1651E3,84,98287
Tillydrone / Seaton / Old Aberdeen,228,132,17979,130,515,2.18E0,1378,8976,2.025E2,5.1983E3,238,139599
Torry / Ferryhill,312,212,22384,182,645,1.81E0,1545,9010,1.558E2,4.4384E3,382,167501
Troon,130,182,14927,57,310,1.41E0,1574,13998,1.574E2,5.1504E3,203,158095
Trossachs and Teith,91,110,11428,51,175,3.8E-1,960,8127,6.98E1,4.4308E3,125,204440
Troup,128,88,9838,45,195,2.31E0,931,11262,6.72E1,6983,143,167624
Turriff and District,139,114,12469,64,130,1.02E0,1247,11862,4.16E1,4.0785E3,155,154612
Tweeddale East,87,79,10387,52,160,4.6E-1,1147,10893,8.19E1,3.8981E3,150,199739
Tweeddale West,77,102,9921,50,140,1.77E0,1644,9687,9.49E1,3895,134,214228
Upper Braes,175,112,15974,70,370,1.67E0,906,6641,7.71E1,6.3036E3,176,148646
West End,163,164,20907,108,600,1.99E0,972,5047,159,4.4665E3,249,134948
West Fife and Coastal Villages,179,171,18241,67,505,1.77E0,1216,12011,2.74E1,6186,179,136474
West Garioch,126,101,10744,87,90,1.01E0,1119,9720,7.04E1,2.7181E3,251,250467
West Mainland,32,39,4497,27,40,1.04E0,1379,14143,0,4.3135E3,35,128605
"Wester Ross, Strathpeffer and Lochalsh",101,134,11848,70,180,2.85E0,1031,11374,5.92E1,4.8804E3,101,170335
Westhill and District,149,90,14260,114,70,7.9E-1,949,9097,3.77E1,1.9879E3,272,293845
Whitburn and Blackburn,221,238,19948,135,855,3.05E0,1503,10077,1.239E2,8.8299E3,277,137887
Wick,96,76,7603,20,250,1.95E0,1892,12881,7.22E1,6.9075E3,68,81549
Wigtown West,69,128,8852,23,255,5.1E-1,1256,15407,8.97E1,9341,69,98001
Wishaw,184,243,19319,63,775,2.25E0,1101,15804,1.087E2,8.9697E3,161,112133
