area,count_births,count_deaths,count_pop,count_breastf,count_job_seekers,ratio_low_birthweight,ratio_hosp__acc_adm,ratio_hosp_planned_adm,ratio_fires,ratio_dis_allow,count_house_sales,house_sales_prices_mean
"Carse, Kinnaird and Tryst",221,203,19723,72,385,1.98E0,953,7146,4.26E1,6.5639E3,193,116264
Castle  ,145,126,13023,71,485,2.08E0,1141,5284,9.12E1,6.5964E3,139,150130
Castle Douglas and Glenkens,85,86,10505,32,160,1.76E0,1212,12685,3.37E1,5.5389E3,76,180935
Central Buchan,111,100,13933,63,125,2.27E0,1006,10227,7.74E1,5.1619E3,162,165585
City Centre,188,86,24212,147,575,8.9E-1,1074,7216,1.522E2,3.4187E3,430,289870
Clackmannanshire Central,128,112,8825,34,365,2.55E0,1054,7720,4.58E1,9168,51,87426
Clackmannanshire East,57,60,7229,31,195,3.09E0,1004,8091,1.004E2,5.2234E3,90,214535
Clackmannanshire North,112,111,10869,32,415,3.47E0,1040,7259,1.288E2,6.1367E3,98,110555
Clackmannanshire South,165,105,11909,39,550,2.74E0,1085,6792,80,8.6369E3,125,102777
Clackmannanshire West,165,118,12448,43,360,2.6E0,1051,7432,4.01E1,6.6141E3,128,129681
Clydebank Central,150,199,14749,36,715,2.37E0,1719,18242,2.022E2,1.13334E4,99,94045
Clydebank Waterfront,192,241,15786,47,845,2.8E0,1639,15817,1.392E2,9.4579E3,120,100164
Clydesdale East,97,116,13018,52,245,1.61E0,968,13866,3.31E1,5120,128,168150
Clydesdale North,108,168,14966,40,475,1.1E0,954,15050,5.26E1,7.1746E3,151,133348
Clydesdale South,165,158,14777,43,490,2.72E0,1055,13241,57,7.8793E3,140,110497
Clydesdale West,176,208,18934,61,520,1.35E0,873,15651,6.86E1,7.0464E3,196,129725
Coatbridge North and Glenboig,220,204,19123,50,800,2.02E0,1320,14668,1.105E2,8.7782E3,153,103588
Coatbridge South,192,140,15220,49,575,2.68E0,1150,13427,8.16E1,9.1339E3,103,85883
Coatbridge West,184,197,16064,32,625,1.38E0,1555,14223,8.31E1,1.01454E4,122,111235
Coldside,242,247,18661,101,860,2.42E0,1636,8049,2.038E2,1.06759E4,157,94769
Colinton / Fairmilehead,286,183,25143,187,350,1.07E0,1188,9357,8.35E1,3.1141E3,284,258976
Corstorphine / Murrayfield,236,281,22707,200,300,1.39E0,1313,11226,5.34E1,2.9373E3,332,228533
Cowal,53,127,6759,34,185,3.64E0,1542,19042,8.92E1,6.4753E3,131,160704
Cowdenbeath,171,170,14761,55,505,2.23E0,1345,13342,8.63E1,8.1889E3,146,107032
Craigentinny / Duddingston,327,264,26101,205,715,8.6E-1,1342,10395,1.544E2,6.5157E3,356,166964
Craigton,354,395,30047,95,1135,3.1E0,1502,16107,1.148E2,9.9823E3,240,90280
Cromarty Firth,148,132,12494,50,270,2.05E0,1176,10349,48,8.0014E3,91,137651
Culloden and Ardersier,134,56,11275,56,170,1.77E0,1055,10779,7.09E1,5485,111,153114
Cumbernauld North,163,96,18420,70,245,1.68E0,760,12910,45,5.2776E3,149,153614
Cumbernauld South,186,202,19487,56,745,3.03E0,1229,15292,1.168E2,8.5681E3,151,76656
Cumnock and New Cumnock,151,159,13692,36,575,1.48E0,1662,14165,1.003E2,9.5217E3,100,92965
Cupar,143,172,13506,78,250,2.27E0,1375,8473,5.18E1,4.6068E3,164,155827
Dalkeith,168,137,11622,72,380,3.14E0,1586,10287,1.113E2,9.3812E3,122,191885
Dalry and West Kilbride,132,104,12229,55,405,2.01E0,1441,12814,9.77E1,6.0609E3,119,145901
Dee,72,146,9839,35,145,2.04E0,1001,12368,2.91E1,5843,111,167346
Denny and Banknock,234,154,18560,62,595,1.56E0,1032,7096,5.13E1,7.2609E3,156,108309
Dingwall and Seaforth,140,118,13110,60,225,1.51E0,1181,10302,3.81E1,5.4037E3,106,147422
Doon Valley,123,150,11852,40,510,2.4E0,1615,13272,4.12E1,1.09492E4,97,100464
Drum Brae / Gyle,242,215,23297,145,385,7.7E-1,1206,10839,8.16E1,4.7144E3,340,210659
Drumchapel / Anniesland,369,331,28879,137,1415,3.17E0,1628,14656,1.732E2,1.22076E4,262,111423
Dumbarton,178,237,16804,70,660,1.26E0,1628,17538,9.14E1,8.4581E3,267,149446
Dunbar and East Linton,124,136,13349,83,240,1.05E0,1003,12332,1.497E2,4.6331E3,160,193061
Dunblane and Bridge of Allan,93,144,16927,69,175,1.46E0,980,5275,2.32E1,2.4711E3,189,254577
Dunfermline Central,194,165,17954,66,465,1.69E0,1219,11855,6.04E1,5123,200,125203
Dunfermline North,128,150,13662,69,475,2.7E0,1382,11643,1.111E2,6.3522E3,169,121271
Dunfermline South,285,115,22564,169,525,1.08E0,885,11886,4.32E1,4.4456E3,377,139236
Dunoon,76,111,8071,28,320,1.58E0,1531,15758,4.29E1,9.0468E3,108,110702
Dyce / Bucksburn / Danestone,176,225,18615,93,140,1.69E0,1257,12055,7.49E1,4.3912E3,380,177665
East Berwickshire,107,129,10556,52,185,2.05E0,1170,9609,7.14E1,6.1287E3,115,168127
East Centre,366,433,29574,143,1340,2.58E0,1857,14260,140,1.16546E4,277,89060
East End,252,240,16014,56,770,1.79E0,1643,8373,1.312E2,1.18752E4,138,88192
East Garioch,199,52,12942,104,55,2.1E-1,888,9253,6.52E1,2.0983E3,193,244557
East Kilbride Central North,176,218,18884,49,470,1.58E0,1223,11578,5.83E1,6.3084E3,279,105718
East Kilbride Central South,143,157,14447,40,365,7.8E-1,1257,11573,6.21E1,6.4252E3,127,89356
East Kilbride East,120,112,11949,38,345,1.05E0,1151,10921,1.695E2,6.6428E3,157,110788
East Kilbride South,188,204,16128,57,475,5.8E-1,1317,12046,5.99E1,7.2267E3,133,101419
East Kilbride West,167,153,14213,80,245,8.7E-1,761,10389,3.54E1,3909,181,190733
East Livingston and East Calder,231,143,20465,93,535,2.81E0,1566,9823,7.91E1,6.7099E3,147,122388
"East Mainland, South Ronaldsay and Burray",45,19,3638,28,15,0,1555,15799,0,3.4165E3,27,180630
East Neuk and Landward,86,166,11849,63,165,7.0E-1,1266,10222,5.91E1,4.4857E3,177,203938
East Sutherland and Edderton,55,93,7992,33,140,6.0E-1,1533,13782,2.49E1,6.0362E3,75,147456
Eilean a' Chèo,97,107,10229,54,245,2.61E0,1513,10299,5.86E1,5.2897E3,123,164587
Elgin City North,167,145,12123,62,210,1.81E0,1066,11815,7.42E1,5.9065E3,111,121001
Elgin City South,134,109,11025,42,150,9.3E-1,1001,12429,1.112E2,5.9172E3,104,133672
Ellon and District,180,104,14579,86,80,1,1210,10842,66,3.2972E3,201,191970
Erskine & Inchinnan,158,170,16806,46,280,3.58E0,983,15681,6.51E1,6786,126,120584
Fa'side,238,198,18900,159,470,1.86E0,1274,10547,7.24E1,5.9976E3,255,179391
Falkirk North,258,245,19746,87,810,3.34E0,1187,7007,8.69E1,8.0559E3,247,104173
Falkirk South,205,206,18913,76,690,3.73E0,1184,7323,9.03E1,7841,200,115126
Fauldhouse and the Breich Valley,156,155,16202,41,520,3.3E0,1566,10404,9.79E1,9.3508E3,104,127750
