artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
99 Percent,0.7029326923076922,0.7852884615384615,6.105769230769231,-5.310769230769229,0.4519230769230769,0.11321346153846158,0.0611831951923077,0.00698496778846154,0.19117211538461543,0.5148269230769231,121.10262500000007,225123.00961538462,3.9423076923076925
A Boogie Wit Da Hoodie,0.6910980392156861,0.6039509803921568,5.46078431372549,-6.666588235294117,0.4411764705882353,0.25046960784313715,0.28466088235294124,7.160980392156863e-06,0.1280519607843137,0.4707666666666667,125.33499999999997,190624.9705882353,4.0
A R I Z O N A,0.6733333333333332,0.6586666666666666,3.1904761904761907,-6.95009523809524,0.9047619047619048,0.05044285714285715,0.14892666666666668,0.08773212000000001,0.13761428571428574,0.3568476190476191,112.62838095238097,190475.47619047618,4.0
AGWA,0.7290000000000001,0.412875,3.375,-9.187375,0.75,0.1545375,0.46135000000000004,1.6374999999999998e-05,0.164875,0.637375,118.620875,198623.25,3.875
ALMA,0.5320499419279904,0.5025284552845525,6.299651567944251,-7.526020905923349,0.9605110336817654,0.08003263646922174,0.6198579558652723,0.005185298826945413,0.1888263646922183,0.8689128919860637,155.4391393728222,194347.71660859467,3.075493612078978
Adan Carmona,0.7348000000000001,0.7036999999999999,4.3,-10.472999999999999,0.4,0.094,0.18137,3.4000000000000003e-07,0.11468,0.6896,119.40099999999998,208598.3,4.0
Adia Victoria,0.4791250000000001,0.5122500000000001,5.708333333333333,-9.309500000000002,0.625,0.06811666666666666,0.45660416666666664,0.4174485420833334,0.14655833333333332,0.35200000000000004,119.22545833333334,214872.20833333334,3.9583333333333335
Alessio Bernabei,0.6002500000000001,0.57075,2.4166666666666665,-6.643333333333332,0.75,0.03768333333333333,0.216875,0.0,0.20553333333333335,0.50275,125.21933333333332,211690.66666666666,3.9166666666666665
Alex Hoyer,0.6852307692307692,0.7095384615384616,5.153846153846154,-5.377538461538462,0.6923076923076923,0.08463846153846152,0.14455384615384614,2.9061538461538458e-05,0.17400769230769234,0.5495846153846153,131.7542307692308,196274.38461538462,3.923076923076923
Alex Roy,0.6835384615384614,0.43900000000000006,4.923076923076923,-8.838,0.9230769230769231,0.07632307692307692,0.3079538461538461,0.026138537692307694,0.1775846153846154,0.427923076923077,107.3987692307692,216047.53846153847,4.0
Alexander Brown,0.7349850746268657,0.7636119402985075,6.552238805970149,-6.893179104477614,0.3880597014925373,0.1167626865671642,0.026066835820895536,0.1557476952238806,0.14565522388059698,0.4531671641791046,129.41510447761198,318641.7164179105,3.955223880597015
Alexander Cardinale,0.6175,0.6515,5.5,-7.2725,1.0,0.0331,0.386,7.049999999999999e-05,0.2805,0.46299999999999997,110.492,194488.0,4.0
Alice,0.6839430894308945,0.7012439024390242,4.983739837398374,-10.46076422764228,0.6260162601626016,0.07733821138211383,0.2785346991869919,0.6115701708130081,0.1921195121951221,0.583240650406504,122.71480487804872,177678.20325203252,3.8780487804878048
Aliose,0.6263809523809523,0.6864285714285716,4.761904761904762,-6.259857142857144,0.14285714285714285,0.08490476190476191,0.13559261904761907,0.01813049095238095,0.20027142857142854,0.3852380952380952,115.8042380952381,270070.3333333333,3.9523809523809526
Alma,0.5320499419279904,0.5025284552845525,6.299651567944251,-7.526020905923349,0.9605110336817654,0.08003263646922174,0.6198579558652723,0.005185298826945413,0.1888263646922183,0.8689128919860637,155.4391393728222,194347.71660859467,3.075493612078978
Amaro Ferreiro,0.5896875,0.5633124999999999,5.03125,-8.516718749999997,0.78125,0.035443749999999996,0.380685,0.012752751250000001,0.15302812500000001,0.44699687499999996,121.2841875,214040.21875,3.90625
Andy Bros,0.6995,0.6550833333333332,5.416666666666667,-9.712666666666667,0.5,0.05000000000000001,0.16044899999999998,0.8962500000000001,0.1812166666666667,0.331,124.32858333333337,396682.25,4.0
Angel,0.4716828193832599,0.8172907488986785,5.436123348017621,-4.750656387665197,0.6872246696035242,0.047766079295154217,0.039305593568282,0.0009305603964757709,0.21275418502202645,0.4286466960352421,134.84269162995582,219643.21585903084,3.907488986784141
Angelica Garcia,0.4992222222222221,0.4962518518518517,4.407407407407407,-8.373222222222223,0.8148148148148148,0.050762962962962975,0.385377,0.002148855925925926,0.2614407407407408,0.3930925925925926,124.99562962962963,214322.03703703705,3.7037037037037037
Anna Puu,0.6090857142857143,0.48970000000000014,5.214285714285714,-9.263842857142855,0.7857142857142857,0.042495714285714276,0.412583,0.07438752828571427,0.13250142857142855,0.4565628571428572,122.14897142857149,210768.41428571427,3.9714285714285715
Annabel Jones,0.6052500000000001,0.6256874999999998,5.625,-7.471375000000002,0.5625,0.08988125,0.222213125,0.0032545625,0.1867,0.3580875,127.18437499999999,203215.5,4.0625
Anteros,0.5988,0.67984,4.92,-6.57044,0.52,0.045388000000000005,0.052847399999999996,0.0028212048,0.196132,0.5417200000000001,123.00944000000001,208633.52,4.0
Arco,0.7343075862068964,0.7280758620689655,5.972413793103448,-5.581227586206898,0.38620689655172413,0.11859586206896555,0.2001006896551724,0.021992759862068962,0.17638896551724137,0.7162027586206897,130.38449655172403,212048.8620689655,4.006896551724138
Arsen,0.7438181818181818,0.8663636363636364,6.909090909090909,-6.343272727272728,0.5454545454545454,0.06269090909090909,0.4622727272727273,3.275e-05,0.22953636363636365,0.8412727272727274,118.64372727272726,180631.54545454544,3.1818181818181817
Asta,0.5200240000000004,0.5249728,5.592,-10.000808000000001,0.768,0.08679200000000002,0.34003933599999975,0.12311968416000003,0.20203759999999996,0.4702016000000002,114.17476799999997,175373.776,3.744
Aubrie Sellers,0.40800000000000003,0.5972428571428573,4.0,-7.648107142857142,0.7857142857142857,0.05216785714285715,0.30595449999999996,0.05899354750000001,0.1486964285714286,0.3545928571428572,124.29257142857145,213057.0357142857,3.9285714285714284
Axel Tony,0.5360416666666666,0.7810000000000001,5.083333333333333,-5.991020833333334,0.625,0.06315624999999998,0.16575833333333334,0.0013240820833333332,0.19695833333333335,0.6043541666666667,146.70343750000004,253942.52083333334,4.104166666666667
Aya Nakamura,0.7193461538461536,0.6545192307692308,4.769230769230769,-6.642173076923077,0.4423076923076923,0.15647499999999998,0.25827538461538463,0.006535638269230769,0.11774807692307693,0.6436346153846153,126.34307692307691,186214.98076923078,4.076923076923077
Ayosha,0.6933567567567568,0.6049859459459459,5.52972972972973,-12.633891891891889,0.5405405405405406,0.06009783783783785,0.30364283621621607,0.11733824243243247,0.1824843243243243,0.7520216216216218,123.73975675675668,278409.05945945944,4.0
BETSY,0.4882352941176472,0.42731764705882364,4.911764705882353,-10.828485294117645,0.8529411764705882,0.044274999999999995,0.503822205882353,0.14624512632352937,0.18284264705882355,0.3885661764705883,114.31869117647058,212761.29411764705,3.764705882352941
Bang For The Buck,0.7383900709219855,0.8297021276595746,6.212765957446808,-5.899078014184396,0.5673758865248227,0.2055936170212766,0.1295112021276595,0.0772834068794326,0.3271546099290781,0.6361985815602839,111.20631205673762,228327.66666666666,4.00709219858156
Banks & Steelz,0.6155,0.8136666666666668,5.0,-5.958333333333335,0.25,0.0959,0.06587241666666667,0.010526016666666667,0.13471666666666665,0.49575000000000014,117.27633333333331,276640.0833333333,4.0
Basic Tape,0.5214722222222223,0.570388888888889,4.5,-6.615916666666667,0.7777777777777778,0.03816666666666668,0.1967401111111112,3.530222222222223e-05,0.14353611111111114,0.4552777777777778,130.0193611111111,211148.13888888888,3.861111111111111
Benjamin Beats,0.7001232876712327,0.8195068493150685,5.52054794520548,-5.926780821917808,0.684931506849315,0.15459863013698633,0.057130904109589056,8.852794520547945e-05,0.27212328767123284,0.5920547945205481,135.56998630136988,180349.87671232875,3.9863013698630136
Benjamin Beilman,0.35918136511375964,0.16625163109425795,5.263271939328277,-18.78483531960996,0.800650054171181,0.05197193932827733,0.9630530877573152,0.3637708994799562,0.21232351029252466,0.3427008667388951,102.54117876489714,274756.62838569883,3.647887323943662
Betsy,0.4882352941176472,0.42731764705882364,4.911764705882353,-10.828485294117645,0.8529411764705882,0.044274999999999995,0.503822205882353,0.14624512632352937,0.18284264705882355,0.3885661764705883,114.31869117647058,212761.29411764705,3.764705882352941
Bl!ndman,0.6046666666666667,0.23577777777777775,7.0,-11.328888888888889,0.6666666666666666,0.078,0.6391111111111111,0.849777777777778,0.16633333333333333,0.2609666666666666,97.2961111111111,156285.33333333334,4.0
Blair,0.46411111111111114,0.45033333333333325,3.8333333333333335,-12.483333333333333,0.8333333333333334,0.046299999999999994,0.6012944444444446,0.6373004944444445,0.1754611111111111,0.5490999999999999,107.81688888888888,110906.5,4.055555555555555
Blonder,0.55072,0.6768400000000001,5.4,-5.97356,0.36,0.04669199999999999,0.27308199999999994,0.0749917088,0.180308,0.6209599999999998,124.42808000000001,190634.96,3.92
Boom Boom Cash,0.6827333333333333,0.814,2.7333333333333334,-3.9741333333333335,0.4666666666666667,0.08213333333333334,0.17103599999999997,1.9942666666666668e-05,0.22236666666666668,0.45886666666666664,130.17299999999997,224293.0,4.0
Brace,0.7021458333333332,0.6023333333333332,5.208333333333333,-8.287458333333332,0.6666666666666666,0.20657916666666673,0.16775708333333336,1.033375e-05,0.14895624999999998,0.5424166666666667,132.67575000000005,166034.02083333334,3.8958333333333335
Brent Cobb,0.5772903225806452,0.5656451612903226,4.967741935483871,-8.461741935483872,0.8064516129032258,0.03820645161290322,0.29942658064516126,0.002957802258064516,0.1381225806451613,0.5429032258064517,114.11235483870966,223355.96774193548,3.935483870967742
Buslav,0.48480000000000006,0.43632,4.2,-11.3095,0.7,0.0415,0.43810000000000004,0.0025721799999999994,0.10983000000000001,0.29209999999999997,121.5391,244966.2,4.0
Calypso Rose,0.6822233009708741,0.6796844660194177,5.223300970873787,-9.734669902912623,0.7961165048543689,0.09472038834951461,0.2906512524271845,0.03457876621359224,0.1945640776699029,0.8208058252427186,116.41494174757287,258828.8058252427,3.9611650485436893
Chantal Kreviazuk,0.5241901840490797,0.5256717791411037,4.030674846625767,-8.066693251533742,0.8650306748466258,0.03457177914110429,0.39934417177914117,0.008502884478527607,0.20553374233128818,0.3829895705521472,117.415263803681,235172.57055214723,3.895705521472393
Chris Holsten,0.653047619047619,0.5698095238095238,5.761904761904762,-7.189714285714285,0.6190476190476191,0.08763809523809522,0.28094857142857144,0.0010131138095238095,0.11242380952380951,0.47200000000000003,114.26514285714285,195259.61904761905,3.9523809523809526
Clap Your Hands Say Yeah,0.4129738562091502,0.7267647058823528,5.091503267973856,-6.3419542483660125,0.8627450980392157,0.05638888888888891,0.19953000699346404,0.21742228300653588,0.1840431372549019,0.34356928104575135,134.3661045751634,229853.19607843139,3.9281045751633985
Claritzel,0.6142456140350881,0.8048157894736849,5.780701754385965,-4.322149122807016,0.5,0.0511219298245614,0.06313655263157897,0.1264406831578947,0.1827236842105262,0.3342166666666666,126.74134210526317,264743.13157894736,3.9649122807017543
Coasts,0.7810000000000001,0.543375,5.875,-8.95775,0.625,0.08549999999999999,0.09155737499999998,0.6571037500000001,0.1449125,0.4008125,124.405625,118181.125,4.0
Code Orange Kids,0.2374,0.6696,1.6,-5.2607,0.7,0.07277,0.034083099,0.8119,0.3312,0.20503999999999997,108.91199999999999,163318.7,3.8
Cookin' On 3 Burners,0.6925833333333333,0.69575,6.0,-6.286583333333334,0.25,0.044149999999999995,0.17556666666666668,0.06817563250000001,0.1778666666666667,0.467,125.57575000000001,206993.5,4.0
Coro de Monjes del Monasterio Benedictino de Santo Domingo de Silos,0.6019999999999996,0.5902999999999998,5.5,-8.881400000000017,0.4,0.03074999999999999,0.11766800000000009,9.459299999999994e-05,0.1650000000000002,0.31121000000000026,115.67159999999981,213046.2,4.0
Cosculluela,0.6126428571428572,0.6009285714285716,4.25,-5.738392857142857,0.9285714285714286,0.06194285714285715,0.2977142857142857,4.306428571428571e-06,0.16195357142857145,0.4855714285714286,127.14482142857146,205867.57142857142,3.7857142857142856
Coyote Kisses,0.5666111111111111,0.8253333333333335,6.388888888888889,-5.844777777777777,0.1111111111111111,0.061266666666666664,0.02258372222222222,0.36380572222222224,0.23301666666666668,0.3660444444444444,140.0487777777778,248946.88888888888,4.0
Creeper,0.6384000000000004,0.6551999999999997,6.485714285714286,-7.157042857142856,0.5142857142857142,0.08649214285714281,0.3055182714285714,0.21421614214285709,0.2034628571428571,0.4726814285714284,125.40229285714281,238715.15,3.9714285714285715
Cuckoolander,0.4945714285714286,0.5708571428571428,5.5,-5.918714285714286,0.42857142857142855,0.05877857142857144,0.16124999999999998,0.00141256,0.18134999999999996,0.3699285714285715,107.739,214533.35714285713,4.0
Dae Dae,0.7072321428571425,0.6044821428571429,4.821428571428571,-8.622607142857142,0.6607142857142857,0.23332678571428578,0.08786636250000002,4.0661428571428565e-05,0.23098392857142852,0.4318482142857144,130.74583928571423,183993.80357142858,3.875
Daniella Mason,0.3836764705882353,0.6100588235294115,5.911764705882353,-7.906735294117645,0.8235294117647058,0.03689999999999999,0.16145620294117652,0.00023714676470588237,0.3723705882352941,0.20176470588235298,124.31147058823527,389460.20588235295,4.0
